delivery_partner_id,partner_name,city,vehicle_type,employment_type,avg_rating,is_active
DP07785,Sneha S,Mumbai,Scooter,Full-time,4.06,Y
DP09098,Sneha E,Delhi,Cycle,Contract,4.22,Y
DP10704,Nikhil N,Mumbai,Scooter,Contract,3.17,Y
DP14836,Rahul G,Delhi,Cycle,Contract,4.46,Y
DP06599,Sneha Q,Mumbai,Bike,Full-time,4.04,Y
DP09559,Suresh U,Ahmedabad,Scooter,Contract,4.2,Y
DP08783,Rakesh R,Ahmedabad,Bike,Contract,4.24,N
DP04638,Shreya A,Delhi,Scooter,Full-time,4.36,Y
DP13301,Rakesh H,Delhi,Scooter,Full-time,4.27,Y
DP09301,Sneha H,Bengaluru,Bike,Part-time,4.12,Y
DP12066,Divya D,Bengaluru,Bike,Part-time,3.68,N
DP03478,Santosh O,Ahmedabad,Bike,Contract,4.73,Y
DP09056,Kiran J,Bengaluru,Bike,Part-time,3.99,Y
DP01330,Divya B,Chennai,Bike,Full-time,3.76,N
DP09316,Kiran O,Delhi,Bike,Full-time,3.77,Y
DP05808,Kiran D,Chennai,Bike,Full-time,4.56,N
DP00239,Amit O,Kolkata,Bike,Part-time,3.85,Y
DP07942,Nikhil Q,Delhi,Bike,Part-time,4.62,Y
DP08710,Arjun W,Mumbai,Scooter,Full-time,4.14,Y
DP10749,Meena K,Hyderabad,Bike,Part-time,4.55,Y
DP06199,Nikhil X,Chennai,Scooter,Part-time,4.06,Y
DP08431,Arjun B,Bengaluru,Bike,Full-time,4.39,N
DP12551,Pooja S,Bengaluru,Scooter,Part-time,4.17,Y
DP09730,Nikhil W,Mumbai,Scooter,Part-time,4.29,Y
DP12883,Rakesh H,Bengaluru,Bike,Full-time,4.07,N
DP12304,Vikas T,Hyderabad,Cycle,Part-time,4.49,Y
DP08383,Priya Q,Delhi,Bike,Full-time,4.15,N
DP06741,Meena K,Delhi,Bike,Full-time,3.97,Y
DP08105,Deepak S,Bengaluru,Bike,Full-time,4.62,Y
DP11517,Deepak I,Delhi,Scooter,Full-time,3.97,Y
DP08216,Suresh H,Pune,Cycle,Full-time,4.2,Y
DP09801,Ananya Y,Kolkata,Bike,Part-time,4.02,Y
DP14440,Meena N,Bengaluru,Car,Full-time,4.39,Y
DP13391,Ananya J,Delhi,Scooter,Full-time,4.47,Y
DP01217,Ravi N,Chennai,Bike,Full-time,4.53,Y
DP12919,Priya R,Hyderabad,Bike,Contract,3.79,Y
DP00437,Shreya T,Mumbai,Car,Contract,4.28,Y
DP05019,Divya P,Chennai,Scooter,Full-time,3.8,Y
DP12561,Vikas C,Ahmedabad,Bike,Full-time,4.04,Y
DP06832,Arjun D,Kolkata,Car,Full-time,4.02,Y
DP00398,Manoj R,Pune,Scooter,Full-time,4.19,Y
DP11426,Kiran O,Hyderabad,Scooter,Part-time,4.09,Y
DP01740,Deepak H,Chennai,Cycle,Part-time,3.31,Y
DP03778,Neha I,Hyderabad,Bike,Part-time,4.13,Y
DP00001,Manoj S,Kolkata,Scooter,Contract,3.96,Y
DP14237,Ananya G,Bengaluru,Bike,Part-time,4.34,Y
DP11242,Neha B,Delhi,Cycle,Full-time,4.2,Y
DP02206,Rakesh Y,Pune,Scooter,Contract,4.37,N
DP03809,Shreya B,Hyderabad,Scooter,Part-time,3.81,Y
DP13772,Ravi J,Chennai,Cycle,Full-time,4.32,Y
DP08640,Suresh C,Delhi,Bike,Full-time,4.1,Y
DP13121,Neha V,Pune,Bike,Full-time,3.89,Y
DP13852,Meena S,Kolkata,Bike,Contract,4.7,Y
DP05845,Pooja P,Bengaluru,Bike,Full-time,4.07,Y
DP06238,Manoj U,Kolkata,Bike,Full-time,3.97,Y
DP02795,Arjun W,Chennai,Scooter,Full-time,4.07,Y
DP06738,Neha E,Mumbai,Scooter,Full-time,4.25,Y
DP11383,Shreya R,Chennai,Scooter,Full-time,4.28,Y
DP02677,Kiran Q,Pune,Bike,Contract,4.51,Y
DP03566,Rakesh W,Delhi,Bike,Contract,4.79,Y
DP01238,Sneha T,Pune,Scooter,Contract,4.46,Y
DP09346,Suresh F,Hyderabad,Scooter,Full-time,4.75,Y
DP12235,Manoj U,Hyderabad,Bike,Full-time,3.85,Y
DP11594,Amit G,Bengaluru,Bike,Full-time,4.03,Y
DP04616,Rakesh D,Mumbai,Bike,Part-time,3.95,Y
DP01366,Deepak L,Kolkata,Scooter,Part-time,4.38,Y
DP12916,Rahul N,Hyderabad,Bike,Contract,4.45,N
DP05524,Ananya W,Chennai,Car,Full-time,4.5,Y
DP01631,Meena N,Hyderabad,Scooter,Full-time,4.2,Y
DP01114,Amit W,Bengaluru,Bike,Full-time,4.04,Y
DP13768,Rahul Q,Mumbai,Scooter,Part-time,4.08,Y
DP10807,Nikhil H,Delhi,Scooter,Full-time,3.56,Y
DP09586,Neha Z,Hyderabad,Bike,Part-time,4.51,Y
DP04127,Ravi A,Mumbai,Bike,Contract,4.17,Y
DP06383,Pooja E,Ahmedabad,Scooter,Contract,4.54,Y
DP01828,Ravi O,Bengaluru,Cycle,Full-time,3.98,Y
DP02507,Manoj S,Pune,Scooter,Full-time,4.5,Y
DP04469,Santosh K,Bengaluru,Scooter,Part-time,4.05,Y
DP10063,Rakesh X,Hyderabad,Car,Contract,4.09,Y
DP13817,Kiran S,Bengaluru,Bike,Contract,3.85,Y
DP01947,Priya Z,Delhi,Scooter,Full-time,3.89,Y
DP14074,Santosh A,Chennai,Cycle,Full-time,4.14,Y
DP07410,Nikhil U,Ahmedabad,Bike,Full-time,3.97,Y
DP13135,Meena J,Bengaluru,Bike,Part-time,4.03,Y
DP14357,Pooja F,Bengaluru,Scooter,Full-time,4.22,Y
DP07367,Rahul R,Bengaluru,Scooter,Part-time,4.0,Y
DP11743,Amit Q,Ahmedabad,Scooter,Contract,3.65,Y
DP05853,Ravi V,Hyderabad,Cycle,Full-time,4.4,Y
DP02217,Kiran A,Ahmedabad,Scooter,Contract,4.1,Y
DP03159,Vikas N,Mumbai,Bike,Contract,4.1,Y
DP08164,Nikhil T,Delhi,Bike,Full-time,4.51,N
DP03869,Nikhil H,Bengaluru,Bike,Part-time,4.41,Y
DP06956,Shreya X,Kolkata,Bike,Full-time,3.97,Y
DP03991,Kiran P,Hyderabad,Scooter,Full-time,4.16,Y
DP10714,Deepak U,Hyderabad,Bike,Full-time,3.88,Y
DP06617,Ravi Q,Bengaluru,Scooter,Full-time,4.2,Y
DP13830,Santosh U,Mumbai,Bike,Full-time,4.43,Y
DP00254,Suresh F,Mumbai,Scooter,Full-time,3.7,Y
DP01837,Deepak C,Mumbai,Scooter,Full-time,4.37,Y
DP07067,Nikhil K,Bengaluru,Car,Contract,3.91,Y
DP14904,Rakesh R,Pune,Bike,Part-time,4.2,Y
DP07343,Priya K,Kolkata,Scooter,Contract,4.09,Y
DP08718,Arjun D,Ahmedabad,Cycle,Full-time,4.68,N
DP01467,Vikas A,Bengaluru,Bike,Full-time,3.84,Y
DP08426,Vikas H,Ahmedabad,Scooter,Contract,4.01,Y
DP06466,Deepak D,Mumbai,Cycle,Full-time,4.47,Y
DP06470,Sneha S,Mumbai,Car,Contract,4.43,Y
DP12880,Rahul N,Chennai,Cycle,Contract,4.88,Y
DP11348,Divya L,Hyderabad,Bike,Part-time,4.31,Y
DP03210,Manoj D,Mumbai,Cycle,Full-time,4.16,Y
DP04101,Priya L,Bengaluru,Scooter,Part-time,4.92,Y
DP07859,Ananya Y,Bengaluru,Bike,Full-time,4.28,Y
DP04035,Neha R,Delhi,Bike,Contract,4.23,Y
DP07644,Divya W,Kolkata,Car,Part-time,3.86,Y
DP07317,Manoj Z,Ahmedabad,Scooter,Contract,4.1,N
DP06928,Suresh B,Chennai,Bike,Full-time,3.73,Y
DP13939,Santosh H,Delhi,Scooter,Part-time,4.06,Y
DP03101,Neha Q,Kolkata,Bike,Part-time,4.22,Y
DP02304,Arjun F,Bengaluru,Car,Full-time,3.97,Y
DP13601,Deepak U,Pune,Scooter,Full-time,4.23,Y
DP06527,Neha B,Mumbai,Car,Contract,4.09,Y
DP00566,Priya I,Pune,Scooter,Full-time,4.48,Y
DP02231,Deepak F,Delhi,Bike,Full-time,4.15,Y
DP14554,Santosh G,Bengaluru,Scooter,Contract,4.52,Y
DP13763,Vikas F,Bengaluru,Cycle,Contract,4.08,Y
DP08483,Ananya A,Ahmedabad,Scooter,Part-time,4.36,Y
DP07072,Priya Y,Mumbai,Bike,Full-time,4.32,Y
DP04203,Arjun R,Mumbai,Bike,Contract,4.5,Y
DP10903,Divya H,Ahmedabad,Scooter,Full-time,4.36,Y
DP01362,Ananya B,Bengaluru,Scooter,Full-time,4.37,Y
DP04745,Vikas F,Bengaluru,Bike,Full-time,4.24,Y
DP12226,Shreya B,Ahmedabad,Scooter,Part-time,4.44,N
DP10991,Rahul S,Hyderabad,Bike,Full-time,4.64,Y
DP01588,Rakesh Y,Chennai,Bike,Full-time,4.48,Y
DP12096,Vikas C,Bengaluru,Bike,Contract,4.77,N
DP03193,Suresh C,Pune,Scooter,Part-time,4.43,Y
DP12884,Meena K,Delhi,Bike,Full-time,4.79,Y
DP06739,Ananya O,Kolkata,Bike,Full-time,3.78,N
DP00448,Sneha K,Ahmedabad,Bike,Part-time,4.24,Y
DP06195,Vikas F,Mumbai,Bike,Full-time,4.08,Y
DP12961,Shreya N,Bengaluru,Bike,Full-time,4.35,Y
DP00982,Divya Y,Bengaluru,Scooter,Contract,4.6,Y
DP14849,Rahul F,Bengaluru,Scooter,Full-time,3.83,Y
DP09540,Ravi L,Bengaluru,Scooter,Part-time,4.45,Y
DP13463,Meena R,Delhi,Bike,Part-time,4.35,Y
DP01300,Pooja F,Bengaluru,Bike,Full-time,4.42,Y
DP12866,Amit L,Mumbai,Cycle,Full-time,4.64,Y
DP14037,Santosh Z,Kolkata,Cycle,Full-time,4.01,Y
DP02380,Rahul M,Bengaluru,Bike,Part-time,4.11,Y
DP00901,Deepak P,Bengaluru,Scooter,Contract,4.01,Y
DP07479,Pooja B,Bengaluru,Bike,Part-time,4.08,Y
DP10638,Neha K,Bengaluru,Cycle,Part-time,3.94,Y
DP13238,Neha H,Delhi,Bike,Part-time,4.5,Y
DP03707,Meena P,Pune,Bike,Full-time,4.16,Y
DP01209,Ananya K,Bengaluru,Scooter,Contract,4.52,Y
DP07627,Manoj Q,Chennai,Cycle,Part-time,4.01,Y
DP04094,Pooja C,Bengaluru,Scooter,Contract,4.2,N
DP12860,Ravi X,Mumbai,Bike,Full-time,4.58,Y
DP09305,Kiran B,Ahmedabad,Cycle,Part-time,4.16,Y
DP09437,Vikas M,Kolkata,Scooter,Full-time,4.26,Y
DP01955,Arjun P,Kolkata,Cycle,Contract,3.94,Y
DP01303,Arjun T,Chennai,Bike,Full-time,4.6,Y
DP09166,Amit O,Bengaluru,Scooter,Full-time,3.65,Y
DP05117,Manoj N,Delhi,Scooter,Contract,4.45,Y
DP04008,Priya I,Mumbai,Bike,Full-time,4.26,Y
DP13086,Shreya A,Bengaluru,Scooter,Full-time,4.32,Y
DP06092,Rakesh J,Delhi,Scooter,Contract,4.18,Y
DP09661,Shreya E,Hyderabad,Bike,Part-time,4.41,Y
DP07093,Nikhil H,Bengaluru,Scooter,Contract,4.01,Y
DP04245,Amit W,Pune,Cycle,Part-time,4.22,Y
DP08358,Vikas N,Kolkata,Scooter,Full-time,4.65,Y
DP02485,Divya T,Delhi,Scooter,Full-time,4.34,Y
DP08360,Meena W,Ahmedabad,Bike,Full-time,3.95,Y
DP06989,Ravi K,Bengaluru,Bike,Full-time,4.21,Y
DP07023,Divya R,Mumbai,Bike,Contract,4.01,Y
DP05775,Manoj P,Delhi,Bike,Part-time,3.61,Y
DP00934,Rahul A,Mumbai,Scooter,Contract,3.9,Y
DP11767,Priya Y,Pune,Bike,Part-time,3.68,N
DP12627,Meena A,Mumbai,Cycle,Full-time,4.35,Y
DP10676,Deepak G,Pune,Scooter,Part-time,4.12,Y
DP12114,Deepak F,Delhi,Bike,Full-time,4.4,Y
DP08432,Arjun K,Mumbai,Car,Full-time,4.1,Y
DP05086,Vikas S,Mumbai,Cycle,Contract,3.85,Y
DP12418,Sneha K,Chennai,Bike,Full-time,3.84,N
DP07948,Rahul H,Ahmedabad,Bike,Part-time,3.96,Y
DP12542,Nikhil Q,Chennai,Bike,Full-time,4.59,Y
DP03466,Shreya A,Pune,Scooter,Contract,4.16,Y
DP10476,Deepak G,Mumbai,Bike,Part-time,4.66,Y
DP11118,Arjun B,Delhi,Cycle,Part-time,4.29,Y
DP04639,Kiran S,Bengaluru,Scooter,Contract,4.12,N
DP13821,Ravi U,Kolkata,Bike,Full-time,4.18,Y
DP14389,Manoj J,Bengaluru,Scooter,Contract,4.3,Y
DP11959,Arjun I,Chennai,Bike,Part-time,4.71,Y
DP13016,Deepak I,Chennai,Bike,Full-time,3.53,Y
DP02488,Amit F,Mumbai,Bike,Full-time,3.92,Y
DP13415,Meena V,Hyderabad,Bike,Full-time,3.97,Y
DP10284,Ravi I,Mumbai,Scooter,Full-time,4.48,Y
DP12552,Rahul E,Kolkata,Bike,Contract,4.63,Y
DP08403,Amit C,Delhi,Scooter,Full-time,4.4,Y
DP07007,Priya W,Pune,Cycle,Part-time,4.11,Y
DP01381,Rahul D,Mumbai,Scooter,Part-time,3.99,N
DP08476,Meena H,Kolkata,Scooter,Full-time,4.26,Y
DP12798,Shreya I,Kolkata,Bike,Full-time,4.21,Y
DP10089,Priya R,Bengaluru,Scooter,Full-time,4.37,Y
DP12546,Vikas Q,Bengaluru,Bike,Part-time,4.13,Y
DP05531,Ananya C,Bengaluru,Bike,Part-time,4.53,Y
DP10831,Kiran D,Kolkata,Cycle,Full-time,3.92,N
DP07623,Nikhil V,Bengaluru,Car,Full-time,3.94,Y
DP05721,Amit H,Delhi,Scooter,Contract,3.61,Y
DP11684,Santosh F,Ahmedabad,Bike,Full-time,4.45,Y
DP11694,Vikas D,Chennai,Bike,Part-time,4.25,Y
DP09647,Deepak E,Pune,Scooter,Contract,4.46,Y
DP01309,Priya H,Bengaluru,Scooter,Part-time,5.0,Y
DP06331,Santosh G,Delhi,Scooter,Full-time,3.98,Y
DP05558,Kiran S,Hyderabad,Scooter,Full-time,4.31,Y
DP02679,Sneha T,Chennai,Scooter,Full-time,3.86,Y
DP14059,Deepak C,Kolkata,Bike,Full-time,4.34,Y
DP10225,Priya D,Chennai,Scooter,Part-time,4.15,Y
DP03085,Manoj V,Ahmedabad,Scooter,Part-time,4.83,Y
DP02087,Sneha F,Ahmedabad,Scooter,Part-time,3.48,Y
DP12903,Suresh I,Mumbai,Bike,Part-time,4.49,N
DP09011,Rakesh U,Chennai,Bike,Part-time,4.19,Y
DP01731,Vikas M,Ahmedabad,Cycle,Part-time,4.19,Y
DP00723,Suresh C,Mumbai,Scooter,Contract,4.38,Y
DP01184,Ananya F,Delhi,Car,Part-time,4.63,Y
DP04664,Sneha T,Bengaluru,Scooter,Contract,4.51,Y
DP03311,Kiran T,Chennai,Scooter,Part-time,4.36,Y
DP05593,Shreya T,Bengaluru,Cycle,Part-time,4.01,Y
DP05097,Pooja A,Chennai,Scooter,Contract,4.23,N
DP00583,Nikhil E,Bengaluru,Scooter,Full-time,4.17,Y
DP13879,Ravi G,Pune,Scooter,Full-time,3.66,Y
DP01894,Ravi L,Kolkata,Scooter,Full-time,4.29,Y
DP04354,Sneha Y,Mumbai,Bike,Part-time,3.88,Y
DP11223,Ravi F,Pune,Scooter,Part-time,4.13,Y
DP14526,Amit N,Pune,Car,Full-time,4.77,Y
DP12018,Sneha B,Mumbai,Car,Part-time,4.31,Y
DP06855,Santosh M,Delhi,Scooter,Part-time,4.35,Y
DP03960,Meena C,Bengaluru,Bike,Full-time,4.36,Y
DP08067,Sneha T,Hyderabad,Cycle,Full-time,4.29,N
DP04506,Santosh O,Bengaluru,Bike,Contract,4.18,Y
DP14859,Vikas N,Bengaluru,Bike,Full-time,4.15,Y
DP06001,Deepak F,Delhi,Cycle,Full-time,3.81,Y
DP08414,Amit X,Bengaluru,Bike,Part-time,3.91,Y
DP04086,Ravi B,Mumbai,Cycle,Full-time,4.17,Y
DP03836,Pooja D,Bengaluru,Cycle,Part-time,3.99,Y
DP11964,Kiran U,Kolkata,Scooter,Full-time,3.84,N
DP00324,Amit Y,Mumbai,Car,Full-time,4.47,Y
DP00946,Neha Y,Chennai,Bike,Full-time,4.46,Y
DP05247,Kiran W,Mumbai,Bike,Contract,3.89,Y
DP14758,Deepak N,Chennai,Bike,Part-time,4.72,Y
DP04336,Rakesh H,Kolkata,Bike,Part-time,4.15,Y
DP08923,Rahul F,Mumbai,Bike,Contract,4.46,Y
DP11029,Meena U,Mumbai,Bike,Part-time,4.22,Y
DP14960,Rahul S,Chennai,Scooter,Part-time,4.29,Y
DP11329,Suresh H,Mumbai,Car,Full-time,4.37,Y
DP09450,Vikas Z,Kolkata,Cycle,Full-time,4.18,Y
DP04931,Shreya S,Ahmedabad,Scooter,Part-time,4.41,Y
DP03833,Priya D,Pune,Bike,Part-time,3.41,Y
DP00564,Rahul E,Bengaluru,Bike,Full-time,4.04,Y
DP04262,Neha N,Bengaluru,Bike,Contract,4.24,Y
DP11568,Priya U,Chennai,Scooter,Part-time,4.51,Y
DP10216,Santosh K,Delhi,Scooter,Full-time,3.97,Y
DP09880,Kiran P,Delhi,Car,Part-time,4.21,Y
DP04986,Neha Y,Delhi,Car,Full-time,4.2,Y
DP02938,Rahul G,Delhi,Scooter,Full-time,4.17,Y
DP13389,Sneha X,Kolkata,Bike,Part-time,4.75,Y
DP01784,Divya Z,Pune,Scooter,Full-time,4.05,Y
DP05572,Priya Y,Pune,Scooter,Full-time,4.35,Y
DP14734,Rakesh X,Kolkata,Scooter,Full-time,4.12,Y
DP02691,Priya N,Delhi,Bike,Part-time,4.42,Y
DP11341,Sneha F,Ahmedabad,Car,Part-time,3.81,Y
DP11381,Meena Z,Chennai,Cycle,Full-time,3.97,Y
DP03060,Ravi O,Bengaluru,Scooter,Full-time,4.4,Y
DP10119,Neha R,Hyderabad,Bike,Full-time,4.02,Y
DP04018,Santosh Z,Mumbai,Bike,Part-time,4.55,Y
DP07549,Divya Q,Chennai,Scooter,Full-time,4.31,Y
DP02966,Amit J,Pune,Car,Full-time,4.09,Y
DP02438,Arjun O,Pune,Bike,Contract,3.87,Y
DP02003,Sneha Z,Delhi,Car,Contract,4.21,N
DP11628,Deepak S,Delhi,Scooter,Contract,4.13,Y
DP14424,Divya F,Kolkata,Car,Contract,4.13,N
DP07180,Sneha R,Bengaluru,Scooter,Full-time,4.33,Y
DP02887,Arjun T,Bengaluru,Scooter,Part-time,4.19,Y
DP04970,Ananya T,Ahmedabad,Bike,Full-time,4.67,Y
DP06876,Shreya B,Kolkata,Bike,Full-time,3.82,Y
DP03547,Manoj K,Bengaluru,Scooter,Full-time,3.95,Y
DP05523,Pooja E,Pune,Scooter,Full-time,4.12,Y
DP13090,Vikas Z,Chennai,Car,Part-time,4.03,N
DP03450,Meena Y,Pune,Cycle,Part-time,3.96,Y
DP14279,Ravi Y,Bengaluru,Scooter,Full-time,4.07,Y
DP08013,Kiran T,Chennai,Cycle,Part-time,4.15,Y
DP12931,Nikhil C,Bengaluru,Scooter,Full-time,4.7,Y
DP07847,Divya B,Kolkata,Scooter,Part-time,4.06,N
DP09565,Meena Z,Mumbai,Bike,Contract,4.46,Y
DP11992,Manoj J,Bengaluru,Scooter,Full-time,4.64,Y
DP03879,Amit M,Pune,Scooter,Full-time,4.37,Y
DP14325,Rahul F,Pune,Scooter,Part-time,4.37,Y
DP02491,Sneha H,Mumbai,Car,Full-time,4.46,Y
DP13533,Vikas C,Ahmedabad,Bike,Part-time,3.84,Y
DP04875,Amit V,Delhi,Scooter,Contract,4.03,Y
DP10845,Vikas A,Ahmedabad,Scooter,Full-time,3.64,Y
DP08763,Rahul I,Hyderabad,Car,Full-time,4.67,Y
DP09240,Priya J,Chennai,Scooter,Full-time,5.0,Y
DP00806,Ananya C,Mumbai,Scooter,Part-time,4.41,Y
DP03348,Arjun K,Bengaluru,Bike,Full-time,4.35,Y
DP13449,Santosh T,Mumbai,Bike,Contract,4.09,Y
DP12190,Nikhil G,Delhi,Bike,Full-time,4.46,Y
DP05310,Sneha K,Bengaluru,Scooter,Full-time,4.15,Y
DP11074,Neha F,Mumbai,Bike,Full-time,4.1,Y
DP00874,Sneha Y,Hyderabad,Bike,Part-time,4.21,Y
DP13125,Pooja U,Bengaluru,Car,Contract,4.4,Y
DP10679,Santosh X,Ahmedabad,Scooter,Full-time,4.05,Y
DP14142,Santosh O,Mumbai,Scooter,Full-time,4.62,Y
DP07734,Neha Q,Bengaluru,Bike,Full-time,3.99,Y
DP10838,Shreya J,Bengaluru,Cycle,Full-time,4.01,Y
DP10430,Neha Y,Delhi,Bike,Full-time,3.81,N
DP08724,Ravi Z,Kolkata,Scooter,Full-time,4.02,Y
DP10096,Kiran D,Pune,Cycle,Contract,3.95,Y
DP03299,Santosh B,Kolkata,Scooter,Full-time,4.32,Y
DP13570,Shreya U,Mumbai,Car,Full-time,4.0,Y
DP06892,Ravi O,Mumbai,Scooter,Full-time,4.65,Y
DP12095,Nikhil Y,Bengaluru,Scooter,Full-time,4.93,Y
DP05486,Kiran J,Mumbai,Scooter,Contract,4.15,Y
DP10895,Pooja P,Kolkata,Scooter,Part-time,4.35,N
DP00303,Manoj M,Delhi,Scooter,Full-time,3.84,N
DP14723,Priya L,Pune,Scooter,Contract,4.61,Y
DP10376,Divya Q,Bengaluru,Cycle,Full-time,3.87,Y
DP05092,Nikhil U,Bengaluru,Scooter,Part-time,4.25,Y
DP14335,Santosh W,Bengaluru,Cycle,Full-time,4.25,Y
DP07813,Meena D,Chennai,Scooter,Contract,4.46,Y
DP12960,Santosh N,Chennai,Scooter,Part-time,4.14,Y
DP10884,Rakesh Z,Kolkata,Scooter,Part-time,3.8,N
DP02503,Suresh Z,Delhi,Car,Full-time,3.91,Y
DP03440,Pooja J,Delhi,Bike,Full-time,3.91,Y
DP06190,Deepak W,Bengaluru,Bike,Part-time,4.14,Y
DP03769,Manoj F,Chennai,Bike,Contract,4.59,N
DP03736,Deepak Q,Bengaluru,Scooter,Part-time,4.06,Y
DP03660,Sneha V,Bengaluru,Cycle,Full-time,4.08,Y
DP04516,Kiran P,Hyderabad,Bike,Part-time,4.48,Y
DP03066,Deepak I,Bengaluru,Scooter,Contract,3.46,Y
DP09348,Kiran H,Pune,Bike,Contract,4.16,Y
DP14634,Pooja N,Bengaluru,Scooter,Part-time,4.48,Y
DP12009,Manoj Y,Bengaluru,Scooter,Contract,4.05,N
DP13127,Nikhil K,Bengaluru,Scooter,Full-time,4.44,N
DP12950,Pooja M,Mumbai,Scooter,Part-time,4.19,Y
DP04017,Kiran T,Chennai,Cycle,Part-time,4.38,Y
DP05112,Nikhil V,Delhi,Cycle,Full-time,4.33,N
DP05927,Pooja E,Bengaluru,Scooter,Contract,4.07,Y
DP11027,Neha J,Bengaluru,Scooter,Contract,4.58,Y
DP11335,Priya B,Delhi,Scooter,Contract,4.04,Y
DP03563,Vikas V,Bengaluru,Bike,Full-time,4.39,Y
DP03995,Rahul L,Bengaluru,Scooter,Full-time,4.82,Y
DP08896,Vikas M,Bengaluru,Scooter,Full-time,4.35,Y
DP12143,Rakesh L,Chennai,Scooter,Full-time,4.25,Y
DP03898,Deepak H,Bengaluru,Bike,Part-time,4.82,Y
DP14720,Rahul Y,Kolkata,Scooter,Part-time,4.4,N
DP07717,Priya L,Pune,Bike,Full-time,4.31,Y
DP04441,Neha J,Chennai,Bike,Part-time,4.78,Y
DP11910,Shreya N,Pune,Scooter,Part-time,4.35,Y
DP06579,Arjun P,Bengaluru,Car,Full-time,4.26,N
DP02016,Shreya H,Bengaluru,Scooter,Full-time,4.3,Y
DP00860,Divya B,Mumbai,Cycle,Full-time,4.35,Y
DP14256,Nikhil R,Mumbai,Scooter,Part-time,4.18,Y
DP10342,Deepak Y,Pune,Bike,Full-time,4.4,N
DP10538,Arjun I,Delhi,Scooter,Full-time,3.91,Y
DP03624,Rahul P,Bengaluru,Cycle,Full-time,4.18,Y
DP00769,Meena J,Pune,Cycle,Full-time,4.29,Y
DP11877,Rahul T,Bengaluru,Scooter,Full-time,4.03,N
DP06010,Santosh T,Kolkata,Scooter,Part-time,4.68,Y
DP12621,Kiran B,Chennai,Cycle,Part-time,4.33,Y
