,DELIVERY_PARTNER_ID,partner_name,city,vehicle_type,employment_type,avg_rating,is_active
39,DP00040,Kiran J,Chennai,Scooter,Part-time,4.28,Y
40,DP00041,Sneha A,Bengaluru,Bike,Part-time,4.11,Y
41,DP00042,Ravi R,Bengaluru,Scooter,Full-time,4.05,Y
42,DP00043,Priya C,Pune,Scooter,Full-time,3.54,Y
43,DP00044,Vikas M,Kolkata,Scooter,Part-time,3.71,Y
44,DP00045,Kiran D,Chennai,Cycle,Part-time,4.35,Y
45,DP00046,Santosh R,Bengaluru,Scooter,Full-time,4.18,Y
46,DP00047,Ravi A,Mumbai,Bike,Full-time,4.21,N
47,DP00048,Nikhil B,Mumbai,Scooter,Full-time,3.9,Y
48,DP00049,Rahul E,Mumbai,Scooter,Part-time,4.53,N
49,DP00050,Meena B,Mumbai,Bike,Full-time,3.76,Y
50,DP00051,Nikhil R,Mumbai,Scooter,Full-time,4.16,Y
51,DP00052,Suresh J,Ahmedabad,Cycle,Full-time,4.21,Y
52,DP00053,Sneha I,Hyderabad,Bike,Contract,4.43,Y
53,DP00054,Priya L,Bengaluru,Bike,Part-time,3.97,Y
54,DP00055,Meena X,Bengaluru,Cycle,Part-time,4.1,Y
55,DP00056,Suresh E,Ahmedabad,Bike,Part-time,4.71,Y
56,DP00057,Shreya H,Bengaluru,Bike,Full-time,3.74,Y
57,DP00058,Rahul S,Kolkata,Scooter,Full-time,3.98,Y
58,DP00059,Kiran J,Delhi,Bike,Contract,4.4,Y
59,DP00060,Ravi X,Mumbai,Scooter,Full-time,4.37,Y
60,DP00061,Neha C,Mumbai,Cycle,Part-time,4.28,Y
61,DP00062,Rahul Z,Bengaluru,Bike,Full-time,3.92,Y
62,DP00063,Santosh B,Ahmedabad,Bike,Contract,4.18,Y
63,DP00064,Meena Z,Bengaluru,Bike,Part-time,4.93,N
64,DP00065,Vikas F,Hyderabad,Bike,Full-time,4.14,Y
65,DP00066,Vikas E,Hyderabad,Scooter,Part-time,4.28,Y
66,DP00067,Rakesh V,Pune,Scooter,Part-time,4.27,Y
67,DP00068,Divya F,Hyderabad,Car,Full-time,4.14,N
68,DP00069,Deepak H,Kolkata,Scooter,Full-time,3.93,Y
69,DP00070,Neha G,Chennai,Bike,Full-time,3.82,Y
70,DP00071,Manoj Z,Hyderabad,Scooter,Part-time,4.56,Y
71,DP00072,Kiran O,Bengaluru,Scooter,Full-time,4.3,Y
72,DP00073,Nikhil J,Kolkata,Bike,Part-time,4.36,Y
73,DP00074,Priya X,Chennai,Bike,Part-time,3.95,N
74,DP00075,Deepak R,Bengaluru,Scooter,Part-time,3.89,Y
75,DP00076,Pooja J,Bengaluru,Scooter,Contract,4.3,N
76,DP00077,Kiran E,Kolkata,Cycle,Full-time,3.81,Y
77,DP00078,Arjun F,Hyderabad,Scooter,Part-time,4.39,Y
78,DP00079,Ravi W,Hyderabad,Bike,Part-time,4.07,Y
79,DP00080,Suresh K,Bengaluru,Bike,Contract,4.39,Y
80,DP00081,Meena J,Delhi,Cycle,Full-time,4.44,Y
81,DP00082,Divya L,Delhi,Bike,Part-time,4.53,Y
82,DP00083,Ravi B,Chennai,Scooter,Full-time,4.49,Y
83,DP00084,Ananya K,Kolkata,Cycle,Full-time,4.55,N
84,DP00085,Divya M,Bengaluru,Bike,Full-time,3.79,Y
85,DP00086,Divya R,Hyderabad,Bike,Part-time,4.23,Y
86,DP00087,Meena K,Ahmedabad,Scooter,Full-time,4.13,Y
87,DP00088,Manoj L,Hyderabad,Scooter,Contract,3.84,Y
88,DP00089,Divya J,Mumbai,Scooter,Full-time,3.76,Y
89,DP00090,Santosh O,Bengaluru,Scooter,Part-time,4.0,N
90,DP00091,Amit B,Bengaluru,Bike,Contract,4.0,Y
91,DP00092,Santosh T,Kolkata,Bike,Full-time,4.08,Y
92,DP00093,Meena L,Kolkata,Scooter,Part-time,4.32,Y
93,DP00094,Rakesh B,Mumbai,Scooter,Part-time,4.06,Y
94,DP00095,Amit S,Hyderabad,Scooter,Contract,4.22,Y
95,DP00096,Vikas I,Pune,Scooter,Contract,3.87,N
96,DP00097,Nikhil M,Delhi,Cycle,Contract,4.13,N
97,DP00098,Amit D,Ahmedabad,Cycle,Full-time,4.3,Y
98,DP00099,Divya X,Chennai,Bike,Contract,4.55,Y
99,DP00100,Rahul B,Ahmedabad,Cycle,Part-time,4.02,Y
100,DP00101,Manoj T,Bengaluru,Cycle,Contract,3.91,Y
101,DP00102,Manoj M,Bengaluru,Bike,Part-time,4.25,Y
102,DP00103,Priya Q,Hyderabad,Bike,Part-time,4.99,Y
103,DP00104,Rahul T,Delhi,Scooter,Contract,4.23,N
104,DP00105,Kiran E,Mumbai,Bike,Part-time,4.14,Y
105,DP00106,Priya P,Bengaluru,Bike,Part-time,4.35,Y
106,DP00107,Neha U,Mumbai,Bike,Full-time,4.57,Y
107,DP00108,Rahul I,Chennai,Bike,Part-time,4.19,Y
108,DP00109,Santosh E,Chennai,Car,Contract,3.59,N
109,DP00110,Shreya H,Mumbai,Scooter,Full-time,4.45,Y
110,DP00111,Nikhil H,Ahmedabad,Scooter,Full-time,3.83,Y
111,DP00112,Kiran A,Delhi,Bike,Full-time,4.52,Y
112,DP00113,Suresh N,Delhi,Cycle,Part-time,3.89,Y
113,DP00114,Ananya P,Bengaluru,Cycle,Full-time,4.34,Y
114,DP00115,Ananya K,Hyderabad,Bike,Contract,3.7,Y
115,DP00116,Manoj H,Bengaluru,Bike,Part-time,4.12,Y
116,DP00117,Vikas C,Mumbai,Scooter,Contract,3.89,Y
117,DP00118,Priya A,Ahmedabad,Bike,Full-time,4.1,Y
118,DP00119,Nikhil S,Chennai,Scooter,Full-time,4.23,Y
119,DP00120,Arjun C,Bengaluru,Bike,Part-time,4.44,Y
120,DP00121,Rakesh W,Mumbai,Scooter,Full-time,4.17,N
121,DP00122,Neha C,Chennai,Bike,Full-time,4.35,N
122,DP00123,Kiran V,Mumbai,Bike,Full-time,3.94,Y
123,DP00124,Neha S,Chennai,Scooter,Full-time,4.46,Y
124,DP00125,Santosh W,Bengaluru,Scooter,Full-time,4.06,Y
125,DP00126,Nikhil H,Bengaluru,Scooter,Part-time,4.1,Y
126,DP00127,Neha A,Bengaluru,Bike,Part-time,4.73,N
127,DP00128,Rahul S,Bengaluru,Bike,Part-time,4.6,Y
128,DP00129,Priya O,Mumbai,Scooter,Part-time,3.89,Y
129,DP00130,Rakesh R,Mumbai,Scooter,Full-time,4.21,Y
130,DP00131,Priya D,Hyderabad,Scooter,Full-time,4.21,Y
131,DP00132,Nikhil V,Chennai,Scooter,Part-time,3.89,Y
132,DP00133,Priya F,Ahmedabad,Scooter,Part-time,3.98,Y
133,DP00134,Suresh F,Bengaluru,Scooter,Part-time,4.54,N
134,DP00135,Manoj Q,Mumbai,Scooter,Full-time,4.16,Y
135,DP00136,Shreya G,Chennai,Bike,Full-time,4.29,Y
136,DP00137,Arjun I,Bengaluru,Scooter,Contract,3.76,N
137,DP00138,Kiran M,Mumbai,Cycle,Contract,4.18,Y
138,DP00139,Ravi B,Kolkata,Scooter,Contract,3.95,Y
139,DP00140,Rakesh N,Mumbai,Bike,Full-time,3.8,Y
140,DP00141,Shreya N,Delhi,Bike,Contract,4.35,N
141,DP00142,Amit X,Delhi,Bike,Full-time,4.54,Y
142,DP00143,Divya X,Hyderabad,Car,Part-time,4.26,Y
143,DP00144,Neha U,Mumbai,Scooter,Part-time,4.05,Y
144,DP00145,Shreya J,Delhi,Car,Full-time,3.84,Y
145,DP00146,Neha Q,Bengaluru,Scooter,Full-time,4.16,Y
146,DP00147,Deepak X,Bengaluru,Scooter,Full-time,4.77,Y
147,DP00148,Vikas P,Chennai,Scooter,Full-time,4.42,Y
148,DP00149,Sneha U,Mumbai,Scooter,Contract,4.21,N
149,DP00150,Manoj M,Mumbai,Scooter,Part-time,4.39,Y
150,DP00151,Suresh N,Chennai,Cycle,Contract,4.82,Y
151,DP00152,Vikas V,Bengaluru,Scooter,Part-time,4.12,Y
152,DP00153,Ananya T,Kolkata,Bike,Full-time,4.42,Y
153,DP00154,Pooja X,Mumbai,Cycle,Part-time,4.34,Y
154,DP00155,Nikhil V,Kolkata,Scooter,Full-time,4.28,Y
155,DP00156,Amit K,Ahmedabad,Bike,Full-time,4.1,Y
156,DP00157,Priya X,Delhi,Scooter,Part-time,4.55,N
157,DP00158,Manoj E,Bengaluru,Bike,Contract,4.34,Y
158,DP00159,Suresh B,Ahmedabad,Bike,Part-time,4.94,Y
159,DP00160,Rakesh C,Pune,Scooter,Part-time,4.37,Y
160,DP00161,Manoj D,Pune,Scooter,Full-time,4.5,Y
161,DP00162,Meena Z,Ahmedabad,Bike,Part-time,3.85,Y
162,DP00163,Santosh W,Chennai,Bike,Full-time,4.69,N
163,DP00164,Meena B,Bengaluru,Bike,Full-time,3.93,Y
164,DP00165,Priya Z,Bengaluru,Car,Contract,4.03,Y
165,DP00166,Deepak N,Mumbai,Bike,Full-time,4.52,Y
166,DP00167,Rahul B,Ahmedabad,Bike,Part-time,4.42,Y
167,DP00168,Deepak C,Kolkata,Scooter,Part-time,4.2,Y
168,DP00169,Nikhil V,Mumbai,Cycle,Full-time,3.78,Y
169,DP00170,Neha T,Chennai,Scooter,Contract,4.03,Y
170,DP00171,Vikas W,Bengaluru,Bike,Full-time,4.41,Y
171,DP00172,Manoj C,Hyderabad,Cycle,Contract,4.17,N
172,DP00173,Manoj O,Delhi,Cycle,Part-time,4.0,Y
173,DP00174,Priya H,Pune,Cycle,Full-time,3.95,Y
174,DP00175,Meena N,Mumbai,Bike,Part-time,4.3,Y
175,DP00176,Santosh N,Delhi,Scooter,Contract,4.29,N
176,DP00177,Vikas O,Mumbai,Scooter,Full-time,3.93,Y
177,DP00178,Ravi C,Delhi,Bike,Contract,3.43,Y
178,DP00179,Ravi I,Delhi,Scooter,Full-time,4.15,Y
179,DP00180,Ananya P,Pune,Bike,Full-time,3.81,Y
180,DP00181,Ravi I,Hyderabad,Scooter,Part-time,4.16,Y
181,DP00182,Shreya A,Delhi,Bike,Full-time,4.1,Y
182,DP00183,Divya P,Bengaluru,Bike,Full-time,4.29,Y
183,DP00184,Divya R,Mumbai,Bike,Full-time,4.82,Y
184,DP00185,Nikhil U,Mumbai,Scooter,Full-time,4.11,Y
185,DP00186,Ananya B,Delhi,Cycle,Full-time,4.24,Y
186,DP00187,Manoj U,Pune,Bike,Contract,4.01,Y
187,DP00188,Priya J,Bengaluru,Scooter,Full-time,4.92,Y
188,DP00189,Nikhil F,Bengaluru,Bike,Part-time,4.19,Y
189,DP00190,Divya X,Kolkata,Scooter,Full-time,3.81,N
190,DP00191,Arjun W,Delhi,Scooter,Contract,4.71,Y
191,DP00192,Rahul A,Delhi,Bike,Full-time,4.47,Y
192,DP00193,Divya P,Bengaluru,Bike,Full-time,4.13,N
193,DP00194,Deepak Q,Kolkata,Bike,Full-time,4.26,Y
194,DP00195,Neha M,Delhi,Scooter,Part-time,3.79,Y
195,DP00196,Santosh Z,Hyderabad,Cycle,Part-time,4.23,Y
196,DP00197,Priya S,Hyderabad,Bike,Full-time,4.79,Y
197,DP00198,Divya W,Ahmedabad,Scooter,Contract,4.23,Y
198,DP00199,Meena X,Mumbai,Bike,Part-time,4.0,Y
199,DP00200,Santosh P,Chennai,Scooter,Full-time,4.1,Y
200,DP00201,Vikas P,Bengaluru,Bike,Part-time,4.34,N
201,DP00202,Ananya S,Delhi,Scooter,Full-time,4.46,Y
202,DP00203,Meena G,Bengaluru,Scooter,Full-time,4.33,Y
203,DP00204,Meena V,Bengaluru,Bike,Full-time,4.08,Y
204,DP00205,Arjun Y,Delhi,Bike,Contract,4.02,Y
205,DP00206,Ravi D,Hyderabad,Bike,Part-time,4.36,N
206,DP00207,Deepak E,Kolkata,Scooter,Contract,4.15,Y
207,DP00208,Rahul C,Hyderabad,Bike,Full-time,4.47,Y
208,DP00209,Divya X,Mumbai,Scooter,Full-time,3.7,N
209,DP00210,Manoj T,Bengaluru,Cycle,Full-time,4.13,Y
210,DP00211,Suresh S,Kolkata,Bike,Contract,4.17,Y
211,DP00212,Kiran E,Hyderabad,Bike,Full-time,3.74,Y
212,DP00213,Neha F,Hyderabad,Bike,Part-time,4.32,Y
213,DP00214,Rahul P,Bengaluru,Scooter,Part-time,4.37,Y
214,DP00215,Pooja C,Mumbai,Scooter,Contract,4.41,Y
215,DP00216,Divya U,Kolkata,Bike,Part-time,3.95,Y
216,DP00217,Priya U,Chennai,Scooter,Contract,4.27,Y
217,DP00218,Kiran Z,Bengaluru,Bike,Part-time,4.67,Y
218,DP00219,Priya F,Chennai,Bike,Full-time,4.25,Y
219,DP00220,Santosh A,Mumbai,Scooter,Contract,4.06,Y
220,DP00221,Neha K,Pune,Scooter,Part-time,4.21,Y
221,DP00222,Meena T,Bengaluru,Car,Part-time,4.53,Y
222,DP00223,Neha G,Delhi,Bike,Contract,3.96,N
223,DP00224,Rahul T,Bengaluru,Scooter,Full-time,4.26,Y
224,DP00225,Manoj Y,Bengaluru,Cycle,Part-time,4.39,Y
225,DP00226,Ravi M,Delhi,Bike,Contract,4.05,Y
226,DP00227,Rakesh U,Delhi,Cycle,Full-time,3.99,N
227,DP00228,Ravi D,Bengaluru,Car,Full-time,4.86,Y
228,DP00229,Rahul O,Bengaluru,Bike,Part-time,3.67,Y
229,DP00230,Rakesh L,Bengaluru,Bike,Part-time,3.93,Y
230,DP00231,Neha N,Chennai,Scooter,Part-time,4.3,Y
231,DP00232,Deepak F,Pune,Bike,Full-time,4.07,Y
232,DP00233,Sneha U,Mumbai,Cycle,Full-time,4.07,Y
233,DP00234,Manoj Y,Kolkata,Bike,Full-time,4.37,Y
234,DP00235,Nikhil S,Kolkata,Scooter,Full-time,4.66,Y
235,DP00236,Shreya G,Bengaluru,Cycle,Contract,4.25,Y
236,DP00237,Pooja E,Chennai,Bike,Contract,3.88,Y
237,DP00238,Suresh J,Pune,Scooter,Full-time,4.18,Y
238,DP00239,Amit O,Kolkata,Bike,Part-time,3.85,Y
239,DP00240,Divya T,Chennai,Car,Full-time,4.28,Y
240,DP00241,Rahul Q,Kolkata,Cycle,Contract,4.57,N
241,DP00242,Nikhil P,Bengaluru,Scooter,Part-time,3.94,Y
242,DP00243,Rakesh H,Delhi,Bike,Part-time,3.33,N
243,DP00244,Meena N,Delhi,Cycle,Contract,4.45,Y
244,DP00245,Shreya J,Delhi,Scooter,Contract,3.99,Y
245,DP00246,Deepak O,Chennai,Scooter,Part-time,4.47,Y
246,DP00247,Santosh P,Bengaluru,Bike,Full-time,4.02,N
247,DP00248,Suresh S,Bengaluru,Bike,Full-time,3.87,Y
248,DP00249,Sneha T,Kolkata,Bike,Full-time,4.52,Y
249,DP00250,Pooja D,Chennai,Scooter,Contract,4.67,Y
250,DP00251,Santosh N,Bengaluru,Scooter,Part-time,3.73,Y
251,DP00252,Deepak M,Mumbai,Scooter,Full-time,4.22,Y
252,DP00253,Nikhil Y,Bengaluru,Bike,Full-time,4.04,Y
253,DP00254,Suresh F,Mumbai,Scooter,Full-time,3.7,Y
254,DP00255,Priya X,Ahmedabad,Bike,Contract,4.4,Y
255,DP00256,Nikhil E,Mumbai,Scooter,Part-time,4.51,N
256,DP00257,Rakesh N,Chennai,Cycle,Full-time,4.05,Y
257,DP00258,Shreya C,Mumbai,Scooter,Part-time,4.37,Y
258,DP00259,Deepak T,Kolkata,Car,Full-time,4.0,Y
259,DP00260,Rakesh G,Bengaluru,Cycle,Full-time,3.83,Y
260,DP00261,Rakesh F,Mumbai,Scooter,Part-time,4.27,Y
261,DP00262,Shreya O,Chennai,Bike,Part-time,4.08,N
262,DP00263,Neha B,Kolkata,Scooter,Full-time,4.08,Y
263,DP00264,Rakesh Q,Chennai,Bike,Part-time,4.05,N
264,DP00265,Deepak A,Bengaluru,Scooter,Contract,3.94,N
265,DP00266,Ananya T,Hyderabad,Bike,Contract,4.25,Y
266,DP00267,Santosh N,Bengaluru,Scooter,Full-time,4.01,Y
267,DP00268,Pooja H,Hyderabad,Scooter,Part-time,4.15,N
268,DP00269,Arjun E,Hyderabad,Cycle,Full-time,4.29,N
269,DP00270,Deepak F,Delhi,Bike,Contract,4.4,Y
270,DP00271,Suresh C,Bengaluru,Scooter,Part-time,4.46,N
271,DP00272,Ananya A,Mumbai,Scooter,Contract,4.21,Y
272,DP00273,Priya V,Mumbai,Scooter,Full-time,4.13,Y
273,DP00274,Sneha A,Delhi,Bike,Contract,4.6,Y
274,DP00275,Kiran K,Delhi,Cycle,Full-time,4.8,Y
275,DP00276,Shreya B,Mumbai,Bike,Full-time,4.34,N
276,DP00277,Pooja Z,Pune,Scooter,Full-time,4.52,Y
277,DP00278,Kiran F,Bengaluru,Scooter,Part-time,4.14,Y
278,DP00279,Priya M,Bengaluru,Scooter,Part-time,3.92,Y
279,DP00280,Santosh F,Bengaluru,Bike,Part-time,4.19,Y
280,DP00281,Santosh M,Hyderabad,Bike,Full-time,4.12,Y
281,DP00282,Suresh K,Bengaluru,Cycle,Full-time,4.39,Y
282,DP00283,Priya Q,Bengaluru,Cycle,Part-time,4.37,N
283,DP00284,Nikhil L,Hyderabad,Scooter,Full-time,4.01,Y
284,DP00285,Neha M,Delhi,Bike,Full-time,4.45,Y
285,DP00286,Ananya R,Bengaluru,Bike,Part-time,3.93,Y
286,DP00287,Ananya D,Pune,Bike,Full-time,4.03,Y
287,DP00288,Suresh X,Bengaluru,Scooter,Full-time,4.03,Y
288,DP00289,Rahul O,Bengaluru,Bike,Full-time,4.04,Y
289,DP00290,Kiran K,Mumbai,Cycle,Contract,3.59,Y
290,DP00291,Sneha M,Delhi,Scooter,Part-time,3.83,Y
291,DP00292,Shreya H,Hyderabad,Scooter,Part-time,4.69,N
292,DP00293,Arjun I,Hyderabad,Bike,Full-time,4.43,Y
293,DP00294,Shreya K,Mumbai,Bike,Contract,3.86,N
294,DP00295,Vikas I,Bengaluru,Bike,Contract,4.67,Y
295,DP00296,Pooja E,Chennai,Bike,Full-time,4.15,Y
296,DP00297,Neha B,Ahmedabad,Scooter,Full-time,3.94,Y
297,DP00298,Vikas B,Mumbai,Scooter,Full-time,3.8,N
298,DP00299,Rakesh O,Chennai,Car,Full-time,4.17,Y
299,DP00300,Meena W,Mumbai,Bike,Full-time,4.02,Y
300,DP00301,Pooja B,Chennai,Bike,Full-time,4.25,Y
301,DP00302,Vikas P,Ahmedabad,Scooter,Contract,4.15,N
302,DP00303,Manoj M,Delhi,Scooter,Full-time,3.84,N
303,DP00304,Arjun S,Delhi,Bike,Part-time,4.05,Y
304,DP00305,Vikas X,Ahmedabad,Cycle,Full-time,4.34,Y
305,DP00306,Meena V,Mumbai,Bike,Full-time,4.14,Y
306,DP00307,Santosh R,Bengaluru,Scooter,Full-time,4.46,Y
307,DP00308,Pooja U,Kolkata,Scooter,Full-time,3.98,Y
308,DP00309,Sneha R,Ahmedabad,Car,Part-time,4.06,Y
309,DP00310,Kiran K,Bengaluru,Scooter,Full-time,4.43,N
310,DP00311,Arjun O,Chennai,Cycle,Part-time,4.19,Y
311,DP00312,Rahul O,Bengaluru,Cycle,Full-time,4.34,Y
312,DP00313,Meena T,Delhi,Scooter,Contract,4.35,Y
313,DP00314,Manoj E,Ahmedabad,Scooter,Contract,4.38,Y
314,DP00315,Kiran O,Hyderabad,Bike,Full-time,4.11,Y
315,DP00316,Rakesh U,Kolkata,Bike,Contract,3.99,Y
316,DP00317,Kiran T,Ahmedabad,Scooter,Contract,4.63,Y
317,DP00318,Shreya W,Delhi,Cycle,Full-time,3.72,Y
318,DP00319,Ananya A,Kolkata,Scooter,Part-time,4.1,Y
319,DP00320,Pooja B,Delhi,Car,Full-time,4.25,Y
320,DP00321,Vikas X,Bengaluru,Scooter,Part-time,4.56,Y
321,DP00322,Arjun N,Bengaluru,Cycle,Part-time,4.35,Y
322,DP00323,Ravi H,Bengaluru,Scooter,Full-time,4.5,Y
323,DP00324,Amit Y,Mumbai,Car,Full-time,4.47,Y
324,DP00325,Amit J,Bengaluru,Cycle,Contract,3.9,Y
325,DP00326,Rakesh J,Bengaluru,Bike,Part-time,4.27,Y
326,DP00327,Shreya T,Mumbai,Bike,Full-time,4.55,N
327,DP00328,Santosh J,Kolkata,Scooter,Full-time,4.02,N
328,DP00329,Nikhil F,Kolkata,Scooter,Part-time,4.34,Y
329,DP00330,Shreya V,Mumbai,Cycle,Contract,4.57,Y
330,DP00331,Ananya C,Bengaluru,Cycle,Full-time,3.79,N
331,DP00332,Manoj D,Hyderabad,Car,Contract,4.22,Y
332,DP00333,Divya N,Kolkata,Scooter,Part-time,4.01,Y
333,DP00334,Nikhil S,Delhi,Bike,Contract,4.55,Y
334,DP00335,Pooja F,Hyderabad,Scooter,Full-time,4.6,Y
335,DP00336,Divya N,Chennai,Bike,Part-time,4.59,Y
336,DP00337,Pooja O,Bengaluru,Bike,Part-time,4.47,Y
337,DP00338,Amit S,Chennai,Cycle,Full-time,4.19,Y
338,DP00339,Nikhil Q,Delhi,Scooter,Full-time,4.23,Y
339,DP00340,Meena A,Hyderabad,Scooter,Full-time,4.36,Y
340,DP00341,Neha O,Bengaluru,Bike,Part-time,4.18,Y
341,DP00342,Ananya K,Hyderabad,Scooter,Full-time,4.03,Y
342,DP00343,Sneha A,Delhi,Cycle,Full-time,4.07,Y
343,DP00344,Rakesh P,Delhi,Scooter,Part-time,4.19,Y
344,DP00345,Nikhil L,Pune,Cycle,Full-time,4.55,Y
345,DP00346,Vikas B,Bengaluru,Cycle,Full-time,4.5,Y
346,DP00347,Ananya E,Bengaluru,Bike,Full-time,4.48,Y
347,DP00348,Pooja S,Chennai,Scooter,Part-time,3.92,Y
348,DP00349,Rakesh F,Mumbai,Bike,Full-time,3.77,Y
349,DP00350,Nikhil T,Bengaluru,Car,Full-time,4.51,Y
350,DP00351,Sneha U,Chennai,Bike,Part-time,4.12,Y
351,DP00352,Santosh O,Pune,Bike,Full-time,4.35,N
352,DP00353,Shreya A,Ahmedabad,Bike,Full-time,4.53,Y
353,DP00354,Deepak K,Chennai,Scooter,Full-time,4.38,Y
354,DP00355,Vikas U,Bengaluru,Car,Full-time,3.8,N
355,DP00356,Pooja S,Mumbai,Car,Part-time,4.55,Y
356,DP00357,Meena Y,Kolkata,Scooter,Full-time,4.44,Y
357,DP00358,Neha Q,Ahmedabad,Bike,Part-time,4.53,Y
358,DP00359,Shreya P,Hyderabad,Scooter,Contract,3.85,Y
359,DP00360,Divya G,Chennai,Car,Full-time,3.93,Y
360,DP00361,Deepak K,Pune,Scooter,Part-time,4.1,Y
361,DP00362,Deepak F,Delhi,Bike,Contract,4.15,Y
362,DP00363,Kiran K,Delhi,Scooter,Part-time,4.44,Y
363,DP00364,Priya C,Ahmedabad,Bike,Full-time,3.88,Y
364,DP00365,Vikas E,Mumbai,Bike,Part-time,4.52,Y
365,DP00366,Manoj R,Mumbai,Scooter,Part-time,4.15,Y
366,DP00367,Rahul U,Mumbai,Bike,Full-time,4.36,N
367,DP00368,Ananya V,Hyderabad,Bike,Part-time,3.71,Y
368,DP00369,Divya F,Kolkata,Car,Full-time,3.95,Y
369,DP00370,Arjun T,Delhi,Bike,Part-time,4.42,Y
370,DP00371,Manoj C,Pune,Scooter,Part-time,4.02,Y
371,DP00372,Ravi Y,Hyderabad,Bike,Full-time,4.04,Y
372,DP00373,Ananya C,Ahmedabad,Bike,Contract,4.66,Y
373,DP00374,Rahul B,Hyderabad,Bike,Full-time,4.46,Y
374,DP00375,Neha V,Chennai,Bike,Full-time,4.25,Y
375,DP00376,Divya B,Bengaluru,Scooter,Full-time,4.14,Y
376,DP00377,Priya M,Bengaluru,Scooter,Part-time,4.69,Y
377,DP00378,Sneha O,Hyderabad,Scooter,Full-time,4.27,Y
378,DP00379,Rakesh Z,Chennai,Bike,Full-time,4.25,N
379,DP00380,Santosh Z,Bengaluru,Scooter,Full-time,4.71,Y
380,DP00381,Divya O,Bengaluru,Scooter,Full-time,4.22,N
381,DP00382,Ravi Z,Ahmedabad,Bike,Full-time,3.96,Y
382,DP00383,Rakesh Z,Pune,Cycle,Contract,3.79,Y
383,DP00384,Vikas T,Bengaluru,Bike,Contract,4.49,Y
384,DP00385,Arjun M,Kolkata,Scooter,Contract,4.56,Y
385,DP00386,Rakesh E,Mumbai,Bike,Part-time,4.57,Y
386,DP00387,Arjun G,Kolkata,Scooter,Contract,4.47,Y
387,DP00388,Deepak I,Mumbai,Scooter,Part-time,3.81,Y
388,DP00389,Rakesh I,Delhi,Bike,Full-time,3.68,Y
389,DP00390,Deepak Y,Chennai,Bike,Full-time,4.42,N
390,DP00391,Shreya U,Hyderabad,Scooter,Part-time,4.11,Y
391,DP00392,Ananya J,Delhi,Scooter,Part-time,3.99,Y
392,DP00393,Amit G,Delhi,Bike,Part-time,4.28,Y
393,DP00394,Rahul V,Mumbai,Scooter,Full-time,4.59,Y
394,DP00395,Divya L,Delhi,Cycle,Part-time,4.57,Y
